STT,X,Y,Label,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,NDVI,NDWI
75,620396.9,2328774,Croplands,805.3777778,880.2666667,461.8444444,3087.022222,2828.755556,2243,1290.2,0.586179335,-0.556237677
76,544046,2324900,Croplands,501.4705882,597.9117647,271.5588235,2872.588235,2791.852941,1858.142857,812.8529412,0.702749351,-0.655431918
77,619455.1,2292287,Croplands,868.7073171,888.5609756,499.2439024,2779.878049,2600.243902,2059.947368,1172.487805,0.523811434,-0.515564539
78,604543.6,2296157,Croplands,703.4285714,750.4857143,393.6285714,2893.914286,2668.257143,1935,1022.085714,0.608917693,-0.588143061
79,601196.7,2297522,Croplands,742.0645161,794.1290323,457.8709677,2663.322581,2526.225806,1961.230769,1107.516129,0.564181989,-0.540627537
80,512391.7,2389233,Croplands,490.9189189,649.8378378,345.6486486,3192.864865,2983.783784,1989.833333,822.8648649,0.733470286,-0.661780841
81,564714.9,2337489,Croplands,733.8611111,765.7777778,429.8055556,2904.444444,2697.416667,2181.411765,1328.472222,0.59659182,-0.582707677
82,595557.6,2345920,Croplands,817.3921569,869.745098,446.7058824,3045.431373,2816.431373,2149,1117.666667,0.576790319,-0.5557058
83,600277.9,2326491,Croplands,775,826.8125,451.75,2871.1875,2575.875,1888.166667,1044.375,0.574898438,-0.552832612
84,553941.3,2320387,Croplands,865.9130435,870.5,462.3913043,2554.369565,2573.065217,2051.904762,1362.304348,0.493659944,-0.491659473
85,574878.3,2311723,Croplands,708.0243902,766.7073171,416.0243902,2829.609756,2678.146341,2129.85,1197.195122,0.599718704,-0.573615284
86,525734.9,2355652,Croplands,593.2790698,680.1860465,352.9302326,2954.953488,2697.651163,2070.466667,1096.395349,0.665591778,-0.625771699
87,610265.6,2288219,Croplands,749.1034483,821.6206897,471.4827586,2842.655172,2520.172414,2072.5,1304.482759,0.582876508,-0.551550854
88,522937.1,2395126,Croplands,628.1481481,714.1481481,396.1851852,2815.333333,2612.444444,1762.375,996.8888889,0.635166821,-0.595324043
89,509872.7,2358613,Croplands,424.9574468,559.6382979,256.8085106,2985.340426,2839.042553,1789.291667,822.8085106,0.750779866,-0.684264227
90,625801.9,2334898,Croplands,899.9666667,910.2666667,499.7333333,2828.366667,2116.5,1663.2,1036.2,0.517228431,-0.51304844
91,591737.7,2332229,Croplands,773.8787879,835.5757576,428.969697,2993.090909,2785.151515,2196.642857,1339.060606,0.589123964,-0.563516059
92,603507.4,2304650,Croplands,595.4827586,714.2068966,380.3793103,2937.655172,2659.965517,1677.153846,882.1724138,0.662915646,-0.608853301
93,529423.1,2377315,Croplands,576.1944444,673.2222222,349.4444444,2993.083333,2806.583333,2105.6,966.3333333,0.677136676,-0.63275171
94,525396.5,2359367,Croplands,575.6410256,663.2820513,319.6153846,2745.025641,2270.769231,1498.125,775.2307692,0.653297917,-0.61078511
95,608872.7,2301987,Croplands,889.5806452,883.3870968,507.5806452,2784.612903,2623.225806,2045.307692,1261.870968,0.515768218,-0.518327646
96,521626.7,2344979,Croplands,469.0769231,582.4615385,277.0769231,3036.333333,2895.230769,1800.555556,880.1025641,0.732369743,-0.678090879
97,607869.6,2305138,Croplands,840.4166667,862.6666667,500.6111111,2697.138889,2531.888889,1809.888889,1130,0.52486023,-0.515329333
98,578939.6,2324294,Croplands,889.4705882,921.1176471,555,2441.117647,2256.058824,2067.2,1453.882353,0.465877782,-0.452080199
99,568293.1,2328882,Croplands,696.5277778,790.5,422.8888889,3171.694444,2845.388889,2199.052632,1528.138889,0.639871891,-0.600978694
100,504441.3,2372939,Croplands,726.2272727,781.6818182,413.1590909,2941.159091,2653.863636,1933.1875,1032.181818,0.603953769,-0.580061659
101,558641.4,2327301,Croplands,738.125,790.925,390.375,2773.35,2678.325,2031.35,1215.225,0.579592621,-0.556193055
102,590979.9,2339129,Croplands,843.125,880.35,491.425,2808.35,2645.95,2126.695652,1298.375,0.538200316,-0.522677366
103,546858.6,2345523,Croplands,813.5588235,847.4411765,429.7941176,2888.176471,2962.205882,2059.473684,1236.323529,0.560444625,-0.546291266
104,518732.6,2365907,Croplands,660.15,756.2,413.475,2963.325,2750.125,2062.115385,1202.225,0.635626022,-0.593388941
105,521284.2,2348384,Croplands,569.0714286,663.5952381,325.1904762,3084.952381,3100.380952,2052.36,932.6666667,0.688523415,-0.645945414
106,537457.4,2364171,Croplands,641.75,715.03125,365.625,2588.03125,2236.46875,1472.428571,934.46875,0.602604666,-0.567049518
107,598907.8,2333491,Croplands,827.1724138,862.2413793,473.3793103,2646.931034,2445.758621,2002.692308,1201.034483,0.523806688,-0.508578504
108,611366.6,2306352,Croplands,843.5,817.7,461.825,2730.525,2590.125,1994.631579,1288.675,0.527983156,-0.53909349
109,524621.3,2359668,Croplands,629.1282051,691.1794872,328.025641,2854,2516.102564,1702.714286,922.8461538,0.638756791,-0.610073628
110,581077.8,2347054,Croplands,937.88,981.08,561.64,2974.56,2892.52,2398.272727,1596.48,0.520565172,-0.503958904
111,561383,2329483,Croplands,817.2222222,845.5555556,440.5555556,2807.8,2675.466667,2125,1221.8,0.549121538,-0.537107439
112,546005.4,2330582,Croplands,640.9032258,744.9032258,420,2536.322581,1875.806452,1292.1,733.3548387,0.596564258,-0.5459604
113,514237.4,2380588,Croplands,433.3333333,573.7435897,290.4871795,2971.358974,2733.102564,1834.6,770.4615385,0.745449342,-0.676317636
114,514274,2324831,Croplands,483.5862069,618.4655172,255.0344828,3292.948276,3261.655172,2120.482759,945.7758621,0.743899488,-0.683763698
115,582874.8,2316964,Croplands,750.5,806.3,469.3,2709.1,2419,1786.333333,1113.1,0.566134813,-0.541275531
116,543508.8,2357418,Croplands,930.6956522,912.826087,541,2422.652174,2298.434783,1726.444444,1181.086957,0.444915529,-0.452656551
117,525867.2,2361894,Croplands,693.5405405,738.7297297,367.5675676,2844.972973,2530.297297,1827.6,1129.648649,0.608004583,-0.587728229
118,595845.3,2316792,Croplands,843.4642857,837.6071429,513.5357143,2353.285714,2247.285714,1876.818182,1319.464286,0.472298875,-0.475001399
119,577454.2,2283941,Croplands,848.4666667,854.6888889,485.8666667,2536.955556,2261.222222,1767.227273,1083.911111,0.498752823,-0.49600325
120,609839.6,2290557,Croplands,871.4,912.1714286,533.5428571,2870.457143,2676.485714,2127.466667,1388.4,0.534241973,-0.517704997
1,485735.6,2346202,Grassland,322.90625,458.15625,237.84375,2727.15625,2583.75,1603.571429,664.59375,0.788262536,-0.712331993
2,486040,2339005,Grassland,445.2424242,587.7878788,312.8484848,3006.30303,3012.181818,2142.5,936.3939394,0.742004021,-0.672914295
3,491993.1,2363931,Grassland,433.0714286,585.5,352.9285714,3308.214286,3077.785714,2000,840,0.768490588,-0.699258879
4,492294.6,2351950,Grassland,563.5789474,671.5789474,398.2105263,3024.736842,3078.473684,2198.2,940.8421053,0.685881076,-0.636622526
5,495083.9,2363632,Grassland,529.5882353,657.4705882,407.8235294,3082.764706,2759.235294,1772.166667,892.4705882,0.706790425,-0.648433568
6,497515.7,2350281,Grassland,476.3478261,619.5652174,376.6086957,3090.913043,2800.521739,1820,754.9565217,0.732933562,-0.666045629
7,499118.4,2333627,Grassland,520.1818182,646.2727273,367.2121212,2974.69697,2861.30303,2012.352941,850.6969697,0.702317677,-0.643038865
8,499151.6,2345666,Grassland,476.4,638.6,320.6666667,3313.133333,3063.733333,1978.785714,995.3333333,0.748570624,-0.676800054
9,499958.4,2339812,Grassland,554.425,701.85,399.825,3345.7,3214.575,1902.533333,887.85,0.7156886,-0.653197613
10,501632.5,2334069,Grassland,513.325,629.125,296.3,3141.425,2980.475,1904.55,858.85,0.719091593,-0.666295368
11,502306.2,2343002,Grassland,415.5681818,574.8863636,223.8636364,3308.704545,3182.545455,2037.083333,873.6590909,0.776832573,-0.703940823
12,502311.1,2328779,Grassland,345.3157895,498.6052632,207.8947368,3252.315789,3086.315789,1904.733333,764.5263158,0.8080316,-0.734142491
13,502585.1,2362011,Grassland,584.4571429,695.4285714,365.3714286,2942.457143,2790.314286,2030.823529,1142.4,0.668573095,-0.617674316
14,503224.7,2345775,Grassland,556.627907,672.9767442,299.3488372,3279.767442,3175.348837,2104.68,1042.627907,0.709817234,-0.659488845
15,503519.3,2350069,Grassland,490.2058824,604,272.6470588,3166.852941,3170.676471,2034.857143,961.7352941,0.731912498,-0.679648075
16,503894,2342837,Grassland,453.1372549,610.372549,243.5686275,3326.921569,3124.823529,2040.3,938.0196078,0.76024857,-0.689953287
17,504075.7,2345030,Grassland,536.5208333,649.0208333,282.7916667,3319.104167,3175.145833,2028.8,934.9791667,0.721694494,-0.672882869
